condition,run,n_waypoints,completed,diverged,t_end_s,n_segments_done,min_dwell_s,sup_dv,rms_dv,sup_dw,rms_dw,cross_track_rmse_m,peak_V
tol5cm_pnn,15,8,True,False,19.406000000000734,8,1.4619999999991897,0.47481933944942434,0.14753287734201626,4.3832540558302,0.9677582994117125,0.03337446486043743,6.168644378272613
tol5cm_pnn,16,15,True,False,36.11000000000654,15,1.7430000000021302,0.6887521855001368,0.14684363196000502,4.41600445409251,0.9417058704777311,0.0313734035033793,6.9827179459646995
tol5cm_pnn,17,18,True,False,42.4359999999918,18,1.3220000000016157,0.694076079417581,0.13980938465616805,4.715404276872788,1.1555458366216984,0.0321445911053279,6.847508033584674
tol5cm_pnn,18,7,True,False,16.246999999996873,7,1.6179999999991033,0.731970561803486,0.1644322328337148,3.790883358817067,0.6496148829947407,0.023977132961989285,5.80640574191933
tol5cm_pnn,19,8,True,False,20.116000000001602,8,1.6130000000019713,0.4870120287525632,0.12502158476238753,4.929821927781553,1.2291568702370421,0.035003770736654775,6.931703841733428
timer_pnn,0,12,True,False,24.012000000006363,12,2.000999999998891,0.7371737544015124,0.13298097940858067,4.227014700479773,1.055403273260067,0.028605924161666997,7.11373318876739
timer_pnn,1,12,True,False,24.012000000006363,12,2.000999999998891,0.5625473815684144,0.14492915112566604,4.189559706852204,1.143219438800335,0.041951805344303976,6.984369517005375
timer_pnn,2,5,True,False,10.004999999999894,5,2.000999999998891,0.5818835316944918,0.13426431437589836,4.3780923349322665,1.0284812275766082,0.032879575264556836,6.00700784072328
timer_pnn,3,6,True,False,12.005999999998785,6,2.000999999998891,0.6625216405864491,0.13655293162019566,4.071848175401085,1.1202254306481234,0.030315492353640925,6.398921509321707
timer_pnn,4,18,True,False,36.01800000000676,18,2.0009999999953365,0.6656287664252536,0.1543876428066305,4.222755823293533,1.0302232748097009,0.03334848849530546,7.094396315524361
timer_pnn,5,18,True,False,36.01800000000676,18,2.0009999999953365,0.6399272746550622,0.14668691398664513,4.985406007030403,1.0690358608462835,0.03711949001528412,6.81854686382237
timer_pnn,6,19,True,False,38.019000000002094,19,2.0009999999953365,0.6322371646397029,0.16080294002580678,4.214079674804584,0.8056102629900617,0.04002797062703132,7.5994245129655615
timer_pnn,7,18,True,False,36.01800000000676,18,2.0009999999953365,0.672914817974242,0.15079951144976245,4.242167625276909,0.9654080296328684,0.03610501811756747,7.667620097840245
timer_pnn,8,7,True,False,14.006999999997676,7,2.000999999998891,0.46533702304826075,0.14273845562247503,3.5543717993701125,1.0961023272557968,0.04142204986142284,6.1293091712429675
timer_pnn,9,8,True,False,16.00799999999658,8,2.000999999998891,0.3189107846095471,0.09734002406997629,4.038319239895189,1.1269210269316383,0.03234691756839622,6.670979092329926
timer_pnn,10,17,True,False,34.01700000001142,17,2.0009999999953365,0.7776106334967325,0.15858513081652506,4.740969193299563,0.9662696129377875,0.042296266311390024,8.05348293945417
timer_pnn,11,20,True,False,40.01999999999743,20,2.0009999999953365,0.7258864464432907,0.14197915697736221,4.093783369504604,0.9443605823220006,0.03384630997904559,6.610717901124362
timer_pnn,12,20,True,False,40.01999999999743,20,2.0009999999953365,0.45985310367154036,0.13825066960491134,4.187845229986286,1.1112200748590697,0.04889908043388806,7.51981055190396
timer_pnn,13,16,True,False,32.016000000016085,16,2.000999999998891,0.5212865884121309,0.12815353629580478,5.10566327232697,1.1521535527264932,0.0446584908628807,6.782291823217177
timer_pnn,14,13,True,False,26.01300000000881,13,2.000999999998891,0.715317231902113,0.13377208701450016,4.0602403327366945,1.031066551703959,0.044016597985146975,6.56528735402814
timer_pnn,15,8,True,False,16.00799999999658,8,2.000999999998891,0.5818219053445347,0.16086469904625555,3.8968071239883564,0.970024282733931,0.03224691227006875,6.168644378272613
timer_pnn,16,15,True,False,30.0150000000137,15,2.000999999998891,0.6971777618711359,0.1484719894791315,4.200059718435575,1.1637112387858186,0.04458558989993457,7.012183224794807
timer_pnn,17,18,True,False,36.01800000000676,18,2.0009999999953365,0.6847950358131056,0.138716711590557,4.774611507942493,1.2602083016252803,0.038819956229641364,7.098316115061952
timer_pnn,18,7,True,False,14.006999999997676,7,2.000999999998891,0.731970561803486,0.1686494754724248,3.8867493863699627,0.6741092947824814,0.02351464177369594,6.2856939868963515
timer_pnn,19,8,True,False,16.00799999999658,8,2.000999999998891,0.446747796980957,0.1324909675417408,3.4048438320531598,1.0244238475376017,0.043390965539734906,7.039181403375642
halt1cm_fixedL1,0,12,True,False,43.14499999999015,12,3.0029999999984396,0.695744025492883,0.0962963509477289,3.3387344542526876,0.634111485282791,0.02025157866399271,5.700584707578457
halt1cm_fixedL1,1,12,True,False,43.94499999998828,12,3.0770000000037605,0.5675864936360023,0.10729886823666092,3.433792004282907,0.6508272827233639,0.026538295406962994,6.1122425411649335
halt1cm_fixedL1,2,5,True,False,18.66699999999983,5,3.538000000001061,0.5167894386896309,0.08909553965085729,3.278213198916189,0.6289080502523732,0.028327479726571292,5.234150138838232
halt1cm_fixedL1,3,6,True,False,21.700000000003538,6,3.3170000000010034,0.6247376744831867,0.09673030391981392,2.7538654235647675,0.584844581622924,0.025351648203248138,5.875377062141833
halt1cm_fixedL1,4,18,True,False,65.58099999994909,18,2.468999999999839,0.6803893409035022,0.11753944126227137,3.5573448848155214,0.5878486586338512,0.0309263726027221,5.834014062431716
halt1cm_fixedL1,5,18,True,False,64.7469999999451,18,2.662999999998524,0.5978666650617286,0.10797302882403012,3.3179334913715515,0.5488486922700874,0.02758564537540083,6.036066762430207
halt1cm_fixedL1,6,19,True,False,67.81899999995977,19,2.4539999999942808,0.6146026139469223,0.1214290148528333,3.261716794642146,0.483320577245824,0.028553156982489062,6.2160367726256665
halt1cm_fixedL1,7,18,True,False,66.79499999995488,18,2.9070000000035527,0.5067943748423233,0.10248582383436546,3.1614258414296215,0.5987736324732574,0.027853073323105944,6.179684991494238
halt1cm_fixedL1,8,7,True,False,27.599000000010747,7,3.6250000000044302,0.3958907150571853,0.09852985876261744,3.2895277255982625,0.689626303853506,0.02733695685871401,6.0646069341424695
halt1cm_fixedL1,9,8,True,False,27.762000000010946,8,2.8670000000004934,0.3282187748211408,0.07140748642903433,3.2353879582550213,0.5904586383261186,0.022804522976780265,5.3983752973570995
halt1cm_fixedL1,10,17,True,False,61.536999999947284,17,2.630000000003214,0.7512767905516253,0.12301018290720633,3.4462328935750377,0.586799770330071,0.023863001458906578,5.703423325773296
halt1cm_fixedL1,11,20,True,False,70.95299999997474,20,2.761999999993563,0.6463382789873618,0.10399400216428699,3.549357405219551,0.573347215470759,0.02353008212646703,6.102990186799732
halt1cm_fixedL1,12,20,True,False,74.0659999999896,20,2.784000000000688,0.43998562807120756,0.10733256016512291,3.1284489694995514,0.5882432229585208,0.028109742604556315,6.202497642513236
halt1cm_fixedL1,13,16,True,False,58.04699999995542,16,3.0820000000037666,0.5271212973484246,0.09697205869800123,3.2358250048280253,0.5900516810455424,0.02408881295629166,6.194441757505162
halt1cm_fixedL1,14,13,True,False,46.5969999999821,13,2.55299999999983,0.6935706344909255,0.10130531557761505,2.9962739910282497,0.603032106465895,0.02172720291679299,5.928600925943042
halt1cm_fixedL1,15,8,True,False,29.34400000001288,8,2.821999999998436,0.433006314612958,0.10807323704598394,3.063181512979861,0.5956296661950337,0.024927632097196502,5.694923360681644
halt1cm_fixedL1,16,15,True,False,54.52899999996362,15,2.8430000000034745,0.7309834413543357,0.11647536521918678,3.258763649240515,0.5588309452690343,0.02495947248280301,6.058187240736156
halt1cm_fixedL1,17,18,True,False,65.7089999999497,18,2.5609999999940314,0.7007086727239402,0.10237056740469495,3.206666630256165,0.6230286655827963,0.027081102466918694,5.857182200903914
halt1cm_fixedL1,18,7,True,False,24.600000000007082,7,2.7880000000034073,0.6726910432992611,0.12849158036493047,3.2590883037675673,0.4904616407255369,0.022314685887730876,5.490684487173277
