method,seed,rollouts_per_target,median_E_ratio,p25_E_ratio,p75_E_ratio,frac_within_2pct
bf,7,225,1.0226673078780848,1.0065407326100282,1.0419709990793442,0.475
bf,7,275,1.0193964252368484,1.0060117593232953,1.0373066033509097,0.515
bf,7,336,1.0159619225923064,1.0053118903096525,1.0318293073869358,0.565
bf,7,411,1.0119259069767663,1.0028697632753667,1.028355586249189,0.635
bf,7,502,1.010330628813498,1.0021951753739429,1.0260748435159435,0.7
bf,7,614,1.0076686219553022,1.000047815868196,1.0205791876770665,0.74
bf,7,750,1.0055138796608805,1.0,1.0175312770190459,0.785
bf,7,917,1.0028449603247287,1.0,1.0136752982042436,0.85
bf,7,1121,1.0010853850729113,1.0,1.0098328301140498,0.885
bf,7,1369,1.0000405079022172,1.0,1.0067297346357689,0.925
bf,7,1674,1.0,1.0,1.0010722430594128,0.97
bf,7,2046,1.0,1.0,1.0,0.995
bf,7,2500,1.0,1.0,1.0,1.0
bf,8,1,2.0875065591595434,1.4415657705124763,3.222506127113644,0.005
bf,8,2,1.5475499937211379,1.238279743895561,2.285268682155187,0.005
bf,8,3,1.395347782415152,1.1786821565698553,1.935521317948521,0.01
bf,8,4,1.2956503608092484,1.1498799760989675,1.6783930916905403,0.015
bf,8,5,1.2583669785717362,1.1334272566770394,1.5214432289372488,0.015
bf,8,6,1.2176726284066217,1.117310006041606,1.407315983201873,0.015
bf,8,7,1.202580871440035,1.1134083776713395,1.3521762713813732,0.025
bf,8,9,1.1772804415573566,1.0919655614147246,1.3030941608898807,0.045
bf,8,11,1.1477462629241955,1.081709835713547,1.2467365126741266,0.06
bf,8,14,1.1208080014294728,1.0702488020283116,1.2047242706440047,0.065
bf,8,17,1.1066534575118392,1.0620763718160053,1.1890469596379618,0.075
bf,8,20,1.0955793030731082,1.055761558658933,1.1585439019874817,0.095
bf,8,25,1.0849820124575589,1.0465065780807263,1.1385016358818842,0.13
bf,8,30,1.0749980487511355,1.0426291252026807,1.1332983747438412,0.14
bf,8,37,1.0686903385104314,1.0380375262299304,1.1154753499343046,0.155
bf,8,45,1.0600941434515465,1.0307140243850992,1.1069163268849969,0.185
bf,8,55,1.0571353229796023,1.0270303393429312,1.0957151257231088,0.2
bf,8,68,1.0485133098157213,1.0216735271281423,1.0835879467511098,0.235
bf,8,83,1.0443933915999548,1.0172399439065634,1.0755379210008693,0.265
bf,8,101,1.03837555447013,1.015185642505056,1.0663902207655036,0.295
bf,8,123,1.0325396949386016,1.0121520862886186,1.0562572009094895,0.345
bf,8,151,1.0286210796330135,1.0083501736589324,1.0505872844175337,0.405
bf,8,184,1.0241436513379014,1.0072764199915782,1.048238398591585,0.455
bf,8,225,1.0193895160370516,1.0060583394227782,1.0419645118119634,0.51
bf,8,275,1.015050880655426,1.0044870496687894,1.0376507543248488,0.575
bf,8,336,1.0122541720313087,1.002443007247855,1.0323239644263482,0.63
bf,8,411,1.0100623481728914,1.002213964488585,1.026307399268487,0.67
bf,8,502,1.0081062917680899,1.000033199936242,1.0198480479452559,0.75
bf,8,614,1.0058345676175944,1.0,1.0154069128887748,0.815
bf,8,750,1.0039566738588763,1.0,1.012585263497091,0.855
bf,8,917,1.002362978246615,1.0,1.010205728926791,0.89
bf,8,1121,1.0008274408707452,1.0,1.0082993969401424,0.92
bf,8,1369,1.0,1.0,1.0058343733385287,0.955
bf,8,1674,1.0,1.0,1.0025653911726673,0.98
bf,8,2046,1.0,1.0,1.0,0.995
bf,8,2500,1.0,1.0,1.0,1.0
bf,9,1,1.85022788106753,1.3867673915332652,2.9678737951737384,0.005
bf,9,2,1.430846944218004,1.2316781088540556,2.067142714612608,0.01
bf,9,3,1.3452733440880045,1.1714527955121021,1.7692147591769516,0.01
bf,9,4,1.2866866148206646,1.1479154697619993,1.6119614184839672,0.01
bf,9,5,1.2408448606612565,1.136099551806685,1.462534348718552,0.01
bf,9,6,1.2147802266959067,1.1213815846405208,1.406961871673199,0.01
bf,9,7,1.202280296157279,1.114490740786786,1.3340257265692697,0.02
bf,9,9,1.1763829805021777,1.0934886860014452,1.293374256223884,0.035
bf,9,11,1.1437779014014882,1.0858424935625648,1.2484521978892422,0.045
bf,9,14,1.1366780318328575,1.0722316680812174,1.221885841300742,0.055
bf,9,17,1.1120204160488014,1.061028412699859,1.1885237589838114,0.065
bf,9,20,1.1012088494830687,1.0562243655423615,1.1685256553882681,0.08
bf,9,25,1.0946118815470036,1.0521190432668392,1.1522856913133275,0.09
bf,9,30,1.0858228945531514,1.0427677322251403,1.1370595675508623,0.095
bf,9,37,1.077368129427572,1.0354380217640977,1.128143157093299,0.115
bf,9,45,1.0669267467652168,1.0298360426664546,1.1133758308949637,0.13
bf,9,55,1.0588363741891496,1.0277395190183438,1.1021201489945778,0.16
bf,9,68,1.0510517322723878,1.0251836551603608,1.0919876319608364,0.18
bf,9,83,1.0456026195846326,1.0218631833404648,1.0806936768119328,0.215
bf,9,101,1.0364403861145859,1.0202623722067239,1.0763409470416274,0.25
bf,9,123,1.032707357786113,1.0171140982605655,1.067486282995545,0.295
bf,9,151,1.0297983300085263,1.011234595959547,1.0555856554886123,0.38
bf,9,184,1.0267267230597215,1.0088814395211867,1.0483451715201673,0.405
bf,9,225,1.0215186274128785,1.00698252126461,1.0421329103859949,0.46
bf,9,275,1.020341246522719,1.0062682005142605,1.0354358928424592,0.485
bf,9,336,1.0168663149100494,1.0035922836120845,1.0327197512973147,0.545
bf,9,411,1.0124529132927447,1.0017155759444456,1.0284166395981642,0.61
bf,9,502,1.0098905247949261,1.0003225717227684,1.0240884150561644,0.66
bf,9,614,1.0079575523208493,1.000070311058186,1.0204126260762245,0.725
bf,9,750,1.004953947118245,1.0,1.0174288310416792,0.77
bf,9,917,1.0021791875524175,1.0,1.0123552573550922,0.84
bf,9,1121,1.0005242436899593,1.0,1.0089664714794133,0.89
bf,9,1369,1.0,1.0,1.0062905178097072,0.91
bf,9,1674,1.0,1.0,1.0010370625784955,0.965
bf,9,2046,1.0,1.0,1.0,0.99
bf,9,2500,1.0,1.0,1.0,1.0
bptt,3,1,1.4984565802408762,1.3091642832460888,1.8571182417336152,0.0
bptt,3,2,1.438742726581085,1.272976237855437,1.7615993027979164,0.0
bptt,3,5,1.2541446736777466,1.2033090397469215,1.368761259147505,0.0
bptt,3,10,1.206304905030787,1.140658507794188,1.2468430085290714,0.01
bptt,3,25,1.137204819544262,1.0901334553357556,1.199940828934653,0.02
bptt,3,50,1.1408814249781312,1.0818585468158293,1.1973523882560662,0.01
bptt,3,75,1.126199419620869,1.078869187283206,1.1956418791862657,0.05
bptt,3,100,1.123930840819218,1.0743935406239358,1.1889367954113605,0.055
bptt,3,125,1.1242617534389114,1.07367667109245,1.1865802412952702,0.05
bptt,3,150,1.1258728621270657,1.0732111397941646,1.1901670367922996,0.05
bptt,1,1,1.5289070912196019,1.324441324831979,1.9087141855653833,0.0
bptt,1,2,1.456425262661777,1.2928116305365565,1.7805773632602513,0.0
bptt,1,5,1.2449768153555185,1.1901244090366243,1.334782304145282,0.0
bptt,1,10,1.1827110715638416,1.1076286270572075,1.233495771387173,0.02
bptt,1,25,1.1203886303992745,1.0635776784405844,1.2097118476753095,0.015
bptt,1,50,1.150637163273231,1.0836692295748747,1.2001986423263045,0.01
bptt,1,75,1.1233205396355421,1.0787612294917386,1.1869619657007158,0.06
bptt,1,100,1.126544481957862,1.079162058322838,1.206560418263729,0.06
bptt,1,125,1.1248869752471604,1.071608388491129,1.1878611343400653,0.05
bptt,1,150,1.1203015494387394,1.0717120710590207,1.1849889874941741,0.05
bptt,0,1,1.5997502263712429,1.3540600424017741,2.0332552667503907,0.0
bptt,0,2,1.5492407696296722,1.3433276988657956,1.9453009454791235,0.0
bptt,0,5,1.3438063853372113,1.2534359739422325,1.5846392591321026,0.0
bptt,0,10,1.222544600098499,1.132058655389482,1.2834238099854325,0.04
bptt,0,25,1.128644792011785,1.070341448999691,1.2095038269212528,0.01
bptt,0,50,1.168303176615184,1.093476292698515,1.2078316973787517,0.01
bptt,0,75,1.1612380912354463,1.0981679448505774,1.204159089096884,0.02
bptt,0,100,1.134311571256234,1.0774322810696217,1.2048504277853747,0.05
bptt,0,125,1.1272300802563238,1.0799561065676453,1.1940981126275225,0.06
bptt,0,150,1.1258271358327752,1.0739088042895775,1.1876012536493281,0.055
bptt,2,1,1.4980065576234205,1.3074443058861427,1.8620268316142317,0.0
bptt,2,2,1.4435764724047666,1.2797850518642462,1.7732121120631903,0.0
bptt,2,5,1.2508361674998842,1.1937178030260758,1.3989606678414241,0.0
bptt,2,10,1.190617393439149,1.1143513497832287,1.242921799501442,0.025
bptt,2,25,1.1327138710466842,1.0781569879662272,1.1946602034686278,0.01
bptt,2,50,1.1652010681853722,1.0949365295878652,1.2053874722189732,0.01
bptt,2,75,1.13947374063657,1.0776796570603207,1.1948445174554285,0.015
bptt,2,100,1.122175951006112,1.0783123808487796,1.1883711075633636,0.04
bptt,2,125,1.1298685469557967,1.080651663880922,1.1996425268486701,0.06
bptt,2,150,1.1281118022096686,1.076893966077814,1.1997253915718833,0.06
bptt,4,1,1.6136550254679463,1.3388890351554883,2.0563731826432883,0.0
bptt,4,2,1.567204671497488,1.3078248264821553,1.972777615373178,0.0
