vel_bias,controller,run,x_ref,y_ref,Kp,Kth,arrived,diverged,t_end_s,final_d_m,final_x,final_y,hold_final_d_m,hold_diverged,e_total_Cl1m,e_line,e_th,e_time,e_l_mean_m,cross_track_rmse_m,energy_J,peak_V
0,ours_bptt,83,0.4444,-0.8902,0.849407,2.994157,1,0,3.686,0.009989,0.43952,-0.88150,0.000000,0,135.55,24.78,28.83,20.36,0.024782,0.034274,1.3314,6.895
0,ours_bptt,84,0.2393,0.0573,0.754246,2.952229,1,0,3.143,0.009999,0.22955,0.05489,0.000000,0,458.13,1.74,3.44,224.31,0.001745,0.002489,0.0742,1.734
0,ours_bptt,85,-0.0699,0.1952,0.821898,2.955520,1,0,3.420,0.009997,-0.06750,0.18545,0.000000,0,541.43,10.03,0.08,263.11,0.010031,0.013856,0.3371,3.543
0,ours_bptt,86,0.7095,0.5152,0.801116,2.986543,1,0,3.713,0.009995,0.70125,0.50954,0.000000,0,180.16,13.77,15.42,64.33,0.013773,0.020467,0.9618,5.769
0,ours_bptt,87,-0.0494,-0.2016,0.813981,2.964490,1,0,3.416,0.009991,-0.04785,-0.19176,0.000000,0,544.44,8.44,3.25,262.64,0.008441,0.012212,0.3120,3.490
0,ours_bptt,88,0.0267,0.5306,0.846480,2.979204,1,0,3.645,0.009990,0.02531,0.52071,0.000000,0,412.32,15.93,17.54,176.68,0.015925,0.022801,0.5264,4.591
0,ours_bptt,89,0.5313,0.5599,0.802510,2.984609,1,0,3.734,0.009982,0.52423,0.55292,0.000000,0,258.45,14.79,15.27,102.87,0.014788,0.021505,0.7611,5.365
0,ours_bptt,90,-0.0457,0.0894,0.791456,2.947093,1,0,3.103,0.009986,-0.04209,0.08006,0.000000,0,612.14,6.40,32.84,268.43,0.006402,0.008011,0.3720,3.522
0,ours_bptt,91,-0.3348,-0.7215,0.926757,2.991979,1,0,3.597,0.009993,-0.33181,-0.71195,0.000000,0,286.38,43.23,29.63,81.14,0.043232,0.061423,1.2316,6.021
0,ours_bptt,92,-0.2539,0.6200,0.910624,2.979216,1,0,3.599,0.009976,-0.25134,0.61033,0.000000,0,348.17,33.78,23.99,124.76,0.033783,0.048591,0.9161,5.355
0,ours_bptt,93,0.1010,0.2482,0.774130,2.956487,1,0,3.486,0.009994,0.09701,0.23904,0.000000,0,540.94,6.84,15.90,249.44,0.006845,0.009060,0.1987,3.201
0,ours_bptt,94,0.8495,0.4720,0.803380,2.988508,1,0,3.688,0.009994,0.84069,0.46726,0.000000,0,107.00,12.79,15.25,28.66,0.012794,0.019174,1.1852,6.180
0,ours_bptt,95,0.1372,0.4237,0.804957,2.972355,1,0,3.660,0.009983,0.13353,0.41437,0.000000,0,460.20,11.52,14.36,207.10,0.011520,0.015637,0.3584,4.037
0,ours_bptt,96,0.4789,0.8183,0.837627,2.991766,1,0,3.708,0.009991,0.47343,0.80999,0.000000,0,159.93,22.40,24.25,38.92,0.022397,0.031315,1.1919,6.566
0,ours_bptt,97,-0.0656,0.3396,0.841833,2.965529,1,0,3.560,0.009994,-0.06467,0.32968,0.000000,0,500.82,12.76,10.14,230.70,0.012756,0.019141,0.3782,3.875
0,ours_bptt,98,0.6043,0.2287,0.776148,2.976722,1,0,3.635,0.009990,0.59490,0.22520,0.000000,0,301.57,6.14,9.67,136.51,0.006143,0.009286,0.5061,4.109
0,ours_bptt,99,-0.0616,-0.5886,0.873606,2.989668,1,0,3.620,0.009980,-0.06154,-0.57857,0.000000,0,379.87,19.77,21.45,153.66,0.019775,0.030217,0.6656,4.945
0,ours_bptt,100,0.6577,0.3184,0.782761,2.980212,1,0,3.684,0.009986,0.64867,0.31417,0.000000,0,259.24,8.47,11.10,112.17,0.008474,0.012797,0.6532,4.709
0,ours_bptt,101,0.7053,0.3527,0.787492,2.982521,1,0,3.692,0.010000,0.69634,0.34831,0.000000,0,223.39,9.41,11.72,92.92,0.009407,0.014195,0.7647,5.056
0,ours_bptt,102,-0.2611,-0.8069,0.917975,2.993934,1,0,3.614,0.009989,-0.25922,-0.79712,0.000000,0,248.27,37.54,31.51,64.47,0.037541,0.056546,1.2965,6.320
0,ours_bptt,103,-0.2565,-0.5607,0.912369,2.988700,1,0,3.576,0.009996,-0.25354,-0.55117,0.000000,0,377.91,33.36,23.09,140.85,0.033363,0.047087,0.8326,5.098
0,ours_bptt,104,-0.0062,-0.2025,0.792489,2.961389,1,0,3.409,0.009995,-0.00648,-0.19252,0.000000,0,552.59,6.64,7.71,263.61,0.006635,0.009256,0.2603,3.330
0,ours_bptt,105,0.1683,-0.1221,0.753162,2.949779,1,0,3.157,0.009999,0.16027,-0.11612,0.000000,0,497.32,3.65,7.66,238.26,0.003650,0.005053,0.0861,2.226
0,ours_bptt,106,0.1073,0.7657,0.865482,2.989401,1,0,3.660,0.009980,0.10518,0.75597,0.000000,0,277.67,22.50,26.87,95.09,0.022499,0.031529,0.9175,5.823
0,ours_bptt,107,0.2607,-0.0935,0.755300,2.955238,1,0,3.243,0.009995,0.25133,-0.09004,0.000000,0,465.70,2.76,7.26,223.52,0.002757,0.003967,0.0982,2.092
0,ours_bptt,108,0.2814,0.9272,0.864950,2.993357,1,0,3.670,0.009976,0.27791,0.91782,0.000000,0,159.23,26.49,31.88,27.87,0.026492,0.036319,1.3178,6.852
0,ours_bptt,109,0.5130,0.7951,0.833284,2.991425,1,0,3.713,0.009977,0.50718,0.78696,0.000000,0,158.98,21.65,23.14,40.11,0.021654,0.030482,1.1768,6.521
0,ours_bptt,110,0.4870,-0.3349,0.777309,2.975959,1,0,3.669,0.009984,0.47871,-0.32938,0.000000,0,356.41,8.85,12.90,158.67,0.008846,0.013153,0.4365,4.139
0,ours_bptt,111,0.2839,0.6459,0.826269,2.986017,1,0,3.715,0.009981,0.27930,0.63701,0.000000,0,310.10,17.48,18.01,123.93,0.017478,0.024123,0.7044,5.291
0,ours_bptt,112,0.3172,0.1950,0.759873,2.959451,1,0,3.482,0.009990,0.30867,0.18977,0.000000,0,464.15,5.34,13.57,214.50,0.005345,0.007815,0.1839,2.915
0,ours_bptt,113,0.3999,-0.0481,0.762919,2.965270,1,0,3.395,0.009993,0.38995,-0.04684,0.000000,0,401.06,1.37,3.53,195.97,0.001371,0.002029,0.1912,2.370
0,ours_bptt,114,0.0845,-0.3381,0.794456,2.971364,1,0,3.611,0.009990,0.08150,-0.32854,0.000000,0,509.36,9.37,12.97,234.68,0.009371,0.012586,0.2816,3.651
0,ours_bptt,115,0.2833,0.3617,0.778201,2.968350,1,0,3.661,0.009998,0.27692,0.35399,0.000000,0,447.90,9.47,14.39,202.46,0.009472,0.013458,0.3089,3.798
0,ours_bptt,116,-0.0960,-0.1708,0.834356,2.964373,1,0,3.394,0.009998,-0.09222,-0.16154,0.000000,0,557.95,12.37,5.31,264.39,0.012373,0.016072,0.3857,3.688
0,ours_bptt,117,0.1426,0.0149,0.751182,2.944619,1,0,2.764,0.009987,0.13271,0.01387,0.000000,0,452.04,0.51,3.21,222.42,0.000514,0.000694,0.0244,0.950
0,ours_bptt,118,0.2298,-0.1089,0.754372,2.953401,1,0,3.221,0.009987,0.22082,-0.10456,0.000000,0,479.34,3.22,8.30,228.96,0.003221,0.004588,0.0915,2.147
