delay_ms,scope,trigger_mode,controller,n,arrival_pct,n_diverged,failed_3x_pct,median_t_end_s,median_e_total_Cl1m,median_cross_track_rmse_m,median_peak_V,median_sup_dv,median_sup_dw,wall_s
20,all,oracle,pid_table3,300,100.00,0,69.33,5.8630,1120.337,0.054377,3.1452,0.26851,1.06096,16.8
20,all,measured,ours_bptt,300,100.00,0,26.67,3.6755,386.669,0.017483,4.3565,0.28989,3.49216,4.8
20,all,measured,ours_dr,300,100.00,0,38.33,4.7095,586.328,0.013485,3.9907,0.23222,3.43926,11.6
20,all,measured,pnn_bf,300,100.00,0,21.33,3.1675,348.212,0.018134,4.4944,0.28933,2.61570,4.3
20,all,measured,lyap1,300,100.00,0,24.67,3.7040,435.805,0.018714,3.8281,0.24553,2.13838,5.8
20,all,measured,lyap2,300,100.00,0,68.67,6.8965,912.178,0.009274,3.3292,0.16828,2.85488,11.2
20,all,measured,pid_table3,300,100.00,0,69.67,5.8830,1126.746,0.054282,3.1452,0.26851,1.06096,15.7
50,pose,oracle,ours_bptt,300,100.00,0,24.33,3.5825,438.284,0.022064,4.3526,0.28416,3.49216,7.5
50,pose,oracle,ours_dr,300,100.00,0,36.67,4.4835,592.080,0.017132,3.9939,0.22863,3.43926,15.3
50,pose,oracle,pnn_bf,300,100.00,0,20.33,3.1525,436.473,0.021058,4.4603,0.28469,2.61570,8.8
50,pose,oracle,lyap1,300,100.00,0,23.33,3.5220,474.909,0.023047,3.8038,0.24311,2.13838,9.6
50,pose,oracle,lyap2,300,100.00,0,64.67,6.6800,890.887,0.010896,3.3370,0.16491,2.85488,21.1
50,pose,oracle,pid_table3,300,100.00,0,72.33,5.9730,1283.364,0.053660,3.1439,0.26841,1.05674,22.9
50,pose,measured,ours_bptt,300,100.00,0,25.00,3.6325,436.926,0.021914,4.3526,0.28416,3.49216,8.0
50,pose,measured,ours_dr,300,100.00,0,37.00,4.5335,596.105,0.017038,3.9939,0.22863,3.43926,14.9
50,pose,measured,pnn_bf,300,100.00,0,21.00,3.2025,477.154,0.020881,4.4603,0.28469,2.61570,14.6
50,pose,measured,lyap1,300,100.00,0,23.33,3.5720,476.746,0.022878,3.8038,0.24311,2.13838,11.5
50,pose,measured,lyap2,300,100.00,0,65.33,6.7300,898.495,0.010855,3.3370,0.16491,2.85488,20.2
50,pose,measured,pid_table3,300,100.00,0,73.00,6.0230,1307.213,0.053425,3.1439,0.26841,1.05674,21.3
50,wheels,oracle,ours_bptt,300,100.00,0,30.00,3.8260,457.221,0.014740,4.4511,0.30128,3.49216,10.9
50,wheels,oracle,ours_dr,300,100.00,0,41.67,4.9595,605.980,0.011345,4.0737,0.24025,3.43926,12.4
50,wheels,oracle,pnn_bf,300,100.00,0,23.33,3.3170,360.765,0.015704,4.5929,0.30549,2.61570,9.1
50,wheels,oracle,lyap1,300,100.00,0,27.00,3.9875,445.804,0.016849,3.9124,0.25031,2.13838,7.8
50,wheels,oracle,lyap2,300,100.00,0,70.33,7.0695,939.308,0.008172,3.3912,0.17477,2.85488,9.9
50,wheels,oracle,pid_table3,300,100.00,0,67.33,5.8530,1028.805,0.054824,3.1840,0.26858,1.06640,13.7
50,wheels,measured,ours_bptt,300,100.00,0,30.00,3.8260,457.221,0.014740,4.4511,0.30128,3.49216,5.9
50,wheels,measured,ours_dr,300,100.00,0,41.67,4.9595,605.980,0.011345,4.0737,0.24025,3.43926,8.1
