timesteps,ep_return,ep_len
289280,-6491.616734,1501
290781,-8111.870715,1501
292282,-5686.597754,1501
293783,-10081.123158,1501
295284,-13489.999922,1501
296785,-5774.463542,1501
298286,-7556.192381,1501
299787,-29848.174632,1501
301288,-5371.524682,1501
302789,-9370.261509,1501
304290,-6963.50362,1501
305791,-7923.235855,1501
307292,-7751.063113,1501
308793,-5321.310137,1501
310294,-4641.398582,1501
311795,-5575.478886,1501
313296,-7100.0474,1501
314797,-12061.408125,1501
316298,-5265.02077,1501
317799,-7432.591549,1501
319300,-6389.98268,1501
320801,-5585.234512,1501
322302,-5581.334433,1501
323803,-5224.338792,1501
325304,-8714.953886,1501
326805,-4997.046428,1501
328306,-12444.220933,1501
329807,-7085.218881,1501
331308,-5541.087975,1501
332809,-5668.074994,1501
334310,-16711.47016,1501
335811,-8638.416125,1501
337312,-5987.172007,1501
338813,-6503.872618,1501
340314,-10438.737281,1501
341815,-5119.65007,1501
343316,-13018.26762,1501
344817,-5445.485131,1501
346318,-8171.591825,1501
347819,-12612.721157,1501
349320,-5012.336048,1501
350821,-25098.499391,1501
352322,-11793.954756,1501
353823,-9128.486915,1501
355324,-9484.819456,1501
356825,-10541.687912,1501
358326,-6409.696501,1501
359827,-5995.772664,1501
361328,-6005.587634,1501
362829,-6095.921481,1501
364330,-5702.715763,1501
365831,-5934.665233,1501
367332,-5422.010373,1501
368833,-9735.613846,1501
370334,-8188.557563,1501
371835,-5810.703261,1501
373336,-7109.234448,1501
374837,-5543.524929,1501
376338,-9262.70429,1501
377839,-4939.191435,1501
379340,-4937.550587,1501
380841,-5611.589851,1501
382342,-5867.650289,1501
383843,-5878.994602,1501
385344,-5103.669175,1501
386845,-8349.39254,1501
388346,-5369.466538,1501
389847,-15761.833109,1501
391348,-6915.821887,1501
392849,-5072.292651,1501
394350,-6892.898344,1501
395851,-6393.518103,1501
397352,-6778.378225,1501
398853,-8892.874189,1501
400354,-7150.828913,1501
401855,-5814.995354,1501
403356,-8706.537558,1501
404857,-7419.122347,1501
406358,-7987.2696,1501
407859,-5884.715114,1501
409360,-5115.007071,1501
410861,-6784.824412,1501
412362,-4852.469908,1501
413863,-7293.852623,1501
415364,-5814.769104,1501
416865,-5451.998652,1501
418366,-5065.459216,1501
419867,-6393.083264,1501
421368,-6045.138816,1501
422869,-5620.971862,1501
424370,-5809.572311,1501
425871,-7585.634157,1501
427372,-4910.612635,1501
428729,-3058.686188,1357
430230,-7295.539423,1501
431731,-6922.014228,1501
